item,itemLabel,positionLabel,height,mass,genderLabel,followers
http://www.wikidata.org/entity/Q753135,Atacan Öztürk,kaleci,,,erkek,
http://www.wikidata.org/entity/Q792951,Ayhan Tumani,Forvet,,,erkek,
http://www.wikidata.org/entity/Q753207,Atakan Cangöz,orta saha,,,erkek,
http://www.wikidata.org/entity/Q792893,Aydın Çetin,Forvet,,,erkek,
http://www.wikidata.org/entity/Q759156,Erkan Özbey,savunma,,,erkek,
http://www.wikidata.org/entity/Q767468,Gökhan Ünal,Forvet,184,78,erkek,
http://www.wikidata.org/entity/Q820161,Timur Özgöz,orta saha,,,erkek,
http://www.wikidata.org/entity/Q823933,Kağan Söylemezgiller,orta saha,179,70,erkek,
http://www.wikidata.org/entity/Q822742,Ensar Baykan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q820148,Eser Yağmur,Forvet,,,erkek,
http://www.wikidata.org/entity/Q775542,Serdar Özbayraktar,kanat,,,erkek,
http://www.wikidata.org/entity/Q803662,Bahri Kaya,Forvet,,,erkek,
http://www.wikidata.org/entity/Q815027,Bekir Öztürk,kaleci,,,erkek,
http://www.wikidata.org/entity/Q803670,Bahtiyar Yorulmaz,Forvet,,,erkek,
http://www.wikidata.org/entity/Q942054,Roman Dąbrowski,kanat,176,74,erkek,
http://www.wikidata.org/entity/Q931253,Orkun Uşak,kaleci,183,,erkek,
http://www.wikidata.org/entity/Q870640,Yasin yılmaz,orta saha,,,erkek,
http://www.wikidata.org/entity/Q946426,Muhammet Demir,Forvet,175,71,erkek,
http://www.wikidata.org/entity/Q832137,Tarık Çamdal,orta saha,172,,erkek,
http://www.wikidata.org/entity/Q831952,Orkan Balkan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q831908,Uğur Albayrak,Forvet,,,erkek,
http://www.wikidata.org/entity/Q942014,Okan Yılmaz,Forvet,177,,erkek,
http://www.wikidata.org/entity/Q832125,Eren Şen,Forvet,,,erkek,
http://www.wikidata.org/entity/Q937898,Orhan Ak,savunma,179,,erkek,
http://www.wikidata.org/entity/Q936079,Musa Aydın,orta saha,172,68,erkek,
http://www.wikidata.org/entity/Q876784,Cem Karaca,kanat,,,erkek,
http://www.wikidata.org/entity/Q877394,Sercan Güvenışık,Forvet,175,70,erkek,
http://www.wikidata.org/entity/Q853123,Beyhan Çalışkan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q924604,Giray Kaçar,savunma,189,,erkek,
http://www.wikidata.org/entity/Q860293,Bilal Özdemir,savunma,,,erkek,
http://www.wikidata.org/entity/Q936379,Selçuk İnan,orta saha,182,72,erkek,
http://www.wikidata.org/entity/Q832172,Cihan Yılmaz,orta saha,,,erkek,
http://www.wikidata.org/entity/Q860285,Bilal Kısa,orta saha,180,,erkek,
http://www.wikidata.org/entity/Q832159,Deniz Doğan,savunma,183,74,erkek,
http://www.wikidata.org/entity/Q929601,Samed Kartal,orta saha,,,erkek,
http://www.wikidata.org/entity/Q932024,Faruk Nafız Özak,,,,erkek,
http://www.wikidata.org/entity/Q944236,Orhan Çıkırıkçı,kanat,,,erkek,
http://www.wikidata.org/entity/Q832705,Tayfun Pektürk,kanat,,,erkek,
http://www.wikidata.org/entity/Q942151,Serdar Aziz,savunma,184,78,erkek,
http://www.wikidata.org/entity/Q871938,Volkan Kahraman,orta saha,178,,erkek,
http://www.wikidata.org/entity/Q893284,Bora Körk,kaleci,,,erkek,
http://www.wikidata.org/entity/Q832193,Durmuş Bayram,savunma,,,erkek,
http://www.wikidata.org/entity/Q946473,Umut Bulut,Forvet,184,75,erkek,
http://www.wikidata.org/entity/Q945940,Bülent Eken,savunma,,,erkek,
http://www.wikidata.org/entity/Q919232,Recep Çetin,savunma,,,erkek,
http://www.wikidata.org/entity/Q836130,Kenan Şahin,Forvet,,,erkek,
http://www.wikidata.org/entity/Q832129,Elyasa Süme,savunma,184,,erkek,
http://www.wikidata.org/entity/Q946415,Yavuz Özkan,kaleci,190,,erkek,
http://www.wikidata.org/entity/Q916259,Nuri Fatih Aydın,orta saha,,,erkek,
http://www.wikidata.org/entity/Q936102,İbrahim Dağaşan,orta saha,179,74,erkek,
http://www.wikidata.org/entity/Q862773,Oğuzhan Türk,orta saha,174,,erkek,
http://www.wikidata.org/entity/Q941740,Turgay Şeren,kaleci,,,erkek,
http://www.wikidata.org/entity/Q944141,Onur Kalafat,savunma,,,erkek,
http://www.wikidata.org/entity/Q929166,Cumhur Yılmaztürk,orta saha,,,erkek,
http://www.wikidata.org/entity/Q865827,Birol Hikmet,orta saha,,,erkek,
http://www.wikidata.org/entity/Q945955,Yasin Özdenak,kaleci,,,erkek,
http://www.wikidata.org/entity/Q925924,Mustafa Etoğlu,orta saha,,,erkek,
http://www.wikidata.org/entity/Q832205,Salih Altın,orta saha,,,erkek,
http://www.wikidata.org/entity/Q874674,Bülent Kaan Bilgen,savunma,170,70,erkek,
http://www.wikidata.org/entity/Q928090,Sabih Arca,orta saha,,,erkek,
http://www.wikidata.org/entity/Q871056,Ersin Demir,Forvet,,,erkek,
http://www.wikidata.org/entity/Q936842,Eren Albayrak,orta saha,175,65,erkek,15193
http://www.wikidata.org/entity/Q832166,Ferhat Bıkmaz,fullback,,,erkek,
http://www.wikidata.org/entity/Q831896,Hamza Çakır,savunma,,,erkek,
http://www.wikidata.org/entity/Q946447,Caner Erkin,kanat,181,75,erkek,
http://www.wikidata.org/entity/Q942151,Serdar Aziz,stoper,184,78,erkek,
http://www.wikidata.org/entity/Q924604,Giray Kaçar,stoper,189,,erkek,
http://www.wikidata.org/entity/Q919026,Hamza Hamzaoğlu,orta saha,184,,erkek,
http://www.wikidata.org/entity/Q852984,Beycan Kaya,kaleci,,,erkek,
http://www.wikidata.org/entity/Q877105,Hüzeyfe Doğan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q860276,Bilal Gülden,orta saha,,,erkek,
http://www.wikidata.org/entity/Q941983,Ali Turan,savunma,186,,erkek,
http://www.wikidata.org/entity/Q919302,Lefter Küçükandonyadis,Forvet,169,66,erkek,
http://www.wikidata.org/entity/Q942041,Serkan Aykut,Forvet,,,erkek,
http://www.wikidata.org/entity/Q893293,Bora Öztürk,Forvet,,,erkek,
http://www.wikidata.org/entity/Q922443,Mehmet Güven,orta saha,183,76,erkek,
http://www.wikidata.org/entity/Q836317,Erhan Önal,Forvet,,,erkek,
http://www.wikidata.org/entity/Q876903,Cem Atan,orta saha,,,erkek,
http://www.wikidata.org/entity/Q893289,Bora Sevim,kaleci,,,erkek,
http://www.wikidata.org/entity/Q2696781,Necmi Onarıcı,Forvet,,,erkek,
http://www.wikidata.org/entity/Q2699223,Ferhat Görgülü,savunma,184,,erkek,
http://www.wikidata.org/entity/Q3337661,Necip Okaner,savunma,,,erkek,
http://www.wikidata.org/entity/Q2810222,Şener Özbayraklı,savunma,181,,erkek,
http://www.wikidata.org/entity/Q2839387,Alp Küçükvardar,Forvet,,,erkek,
http://www.wikidata.org/entity/Q2791525,Orhan Onuk,orta saha,,,erkek,
http://www.wikidata.org/entity/Q3128061,Hasan Kamil Sporel,savunma,,,erkek,
http://www.wikidata.org/entity/Q3070123,Muhsin Ertuğral,savunma,,,erkek,18443
http://www.wikidata.org/entity/Q2846277,Andre Ngole Kona,Forvet,,,erkek,
http://www.wikidata.org/entity/Q3198901,Koray Kaçınoğlu,savunma,,,erkek,
http://www.wikidata.org/entity/Q2757668,Tayfun Hut,savunma,,,erkek,
http://www.wikidata.org/entity/Q3071735,Fikret Arıcan,Forvet,,,erkek,
http://www.wikidata.org/entity/Q2895845,Benhur Babaoğlu,Forvet,,,erkek,
http://www.wikidata.org/entity/Q2836122,Ali Bayraktar,,,,erkek,
http://www.wikidata.org/entity/Q3021717,Oğulcan Gökçe,savunma,,,erkek,
http://www.wikidata.org/entity/Q2709448,Emre Bilgin,fullback,175,,erkek,
http://www.wikidata.org/entity/Q3067213,Fatih Atık,orta saha,174,70,erkek,
http://www.wikidata.org/entity/Q2947426,Nuri Çolak,savunma,,,erkek,
http://www.wikidata.org/entity/Q3195105,Kenan Köse,orta saha,,,erkek,
http://www.wikidata.org/entity/Q2827696,Ahmet Kesim,savunma,,,erkek,
